"Index" "DOV.Open" "DOV.High" "DOV.Low" "DOV.Close" "DOV.Volume" "DOV.Adjusted"
"2010-06-22" 31.137091 31.190718 29.749496 29.823233 3985466 23.09021
"2010-06-23" 29.816528 29.99752 29.112677 29.729385 2724307 23.017551
"2010-06-24" 29.608725 29.823233 28.951796 29.025534 2266327 22.472595
"2010-06-25" 29.166304 29.642242 28.924982 29.588615 3280297 22.90855
"2010-06-28" 29.581911 29.729385 28.99872 29.347294 1514913 22.721712
"2010-06-29" 28.737289 28.831137 27.85915 28.093767 2756977 21.751198
"2010-06-30" 28.093767 28.630035 27.919479 28.013327 2453995 21.688917
"2010-07-01" 27.979809 28.147392 27.148594 27.691565 2732064 21.439793
"2010-07-02" 27.772005 27.952995 27.376507 27.557499 1671998 21.335991
"2010-07-06" 27.99992 28.475859 27.637938 27.926184 2656729 21.621443
"2010-07-07" 27.932886 28.951796 27.832336 28.904873 2338381 22.379179
"2010-07-08" 29.213226 29.387514 28.750694 29.219931 1567871 22.623108
"2010-07-09" 29.246744 29.702572 29.079161 29.608725 1484182 22.924129
"2010-07-12" 29.427734 29.514877 28.851246 29.126083 1614117 22.550446
"2010-07-13" 29.635538 30.024332 29.575209 29.749496 1864141 23.033112
"2010-07-14" 29.642242 30.104773 29.441141 29.823233 1535947 23.09021
"2010-07-15" 29.762901 29.863453 28.992016 29.561802 2171897 22.887793
"2010-07-16" 29.159599 29.340591 28.469154 28.542891 2130425 22.098923
"2010-07-19" 28.757399 28.965202 28.308273 28.891466 1088858 22.368797
"2010-07-20" 28.388714 29.300371 28.382011 29.28026 1785971 22.669821
"2010-07-21" 29.541693 30.071257 29.387514 29.695869 2772492 22.991592
"2010-07-22" 30.165104 30.882362 30.051147 30.862253 3321172 23.894648
"2010-07-23" 32.672157 32.678864 31.37841 32.001823 5181434 24.776951
"2010-07-26" 32.182816 32.678864 31.807426 32.538094 2390892 25.192144
"2010-07-27" 32.739193 32.739193 31.706877 31.767206 3593573 24.595293
