"Index" "CNC.Open" "CNC.High" "CNC.Low" "CNC.Close" "CNC.Volume" "CNC.Adjusted"
"2007-11-23" 5.785 5.955 5.785 5.8525 1092000 5.8525
"2007-11-26" 5.8225 6.07 5.8225 5.85 2183600 5.85
"2007-11-27" 5.845 6.025 5.845 6.0025 1638800 6.0025
"2007-11-28" 6.08 6.245 6.0025 6.1725 2150400 6.1725
"2007-11-29" 6.1375 6.25 6.13 6.2325 1749200 6.2325
"2007-11-30" 6.2975 6.3675 6.1 6.25 2888400 6.25
"2007-12-03" 6.2775 6.3125 6.155 6.25 2043600 6.25
"2007-12-04" 6.195 6.3325 6.1375 6.32 1922000 6.32
"2007-12-05" 6.42 6.595 6.285 6.51 5142400 6.51
"2007-12-06" 6.5 6.5 6.1875 6.4675 2909600 6.4675
"2007-12-07" 6.4725 6.4875 6.3025 6.3575 1878800 6.3575
"2007-12-10" 6.39 6.4975 6.36 6.4375 1416400 6.4375
"2007-12-11" 6.46 6.4625 6.175 6.1975 1358400 6.1975
"2007-12-12" 6.2975 6.375 6.2175 6.3075 1027200 6.3075
"2007-12-13" 6.265 6.2875 6.0875 6.2 1888400 6.2
"2007-12-14" 6.15 6.4975 6.1425 6.4125 1559200 6.4125
"2007-12-17" 6.3625 6.5075 6.345 6.4475 1858400 6.4475
"2007-12-18" 6.48 6.715 6.4725 6.6425 2517600 6.6425
"2007-12-19" 6.65 6.6675 6.5025 6.54 1951200 6.54
"2007-12-20" 6.595 6.665 6.5125 6.56 3244800 6.56
"2007-12-21" 6.6525 6.69 6.55 6.5975 2918400 6.5975
"2007-12-24" 6.625 6.7775 6.625 6.7 742000 6.7
"2007-12-26" 6.705 6.8075 6.6875 6.7675 775200 6.7675
"2007-12-27" 6.7825 6.9025 6.67 6.8375 1486800 6.8375
"2007-12-28" 6.8025 6.9325 6.745 6.89 1736400 6.89
"2007-12-31" 6.87 6.9325 6.765 6.86 1588400 6.86
"2008-01-02" 6.85 6.945 6.7925 6.895 1609600 6.895
"2008-01-03" 6.905 6.92 6.795 6.845 1427600 6.845
