"Index" "KMB.Open" "KMB.High" "KMB.Low" "KMB.Close" "KMB.Volume" "KMB.Adjusted"
"2007-02-13" 65.867691 66.069031 65.599236 66.021095 1751718 37.18367
"2007-02-14" 66.021095 66.941513 65.982742 66.70182 1304167 37.567078
"2007-02-15" 66.567596 66.893578 66.385429 66.759346 1179007 37.599483
"2007-02-16" 66.442955 67.008629 66.308723 66.4813 1560641 37.442879
"2007-02-20" 66.538834 67.114098 66.27037 67.104507 1081487 37.793884
"2007-02-21" 66.92234 67.027802 66.452538 66.740173 1417750 37.588665
"2007-02-22" 66.874397 66.92234 66.347076 66.634705 1056350 37.529274
"2007-02-23" 66.538834 67.248322 66.327904 67.114098 2688124 37.799271
"2007-02-26" 67.027802 67.209969 66.69223 67.018219 1151994 37.74527
"2007-02-27" 67.018219 67.382553 64.47747 65.397888 2604580 36.832691
"2007-02-28" 65.11026 66.088203 64.918503 65.196548 4451524 36.71928
"2007-03-01" 65.10067 65.637581 63.652924 65.359543 3021258 36.811104
"2007-03-02" 65.033554 65.349953 64.189835 64.46788 1992443 36.308899
"2007-03-05" 64.46788 65.465004 64.285713 64.803452 2319319 36.49789
"2007-03-06" 65.043144 65.273247 64.736336 65.215721 1489195 36.730087
"2007-03-07" 64.793861 65.177376 64.209015 64.304893 1389485 36.501514
"2007-03-08" 64.813042 64.976028 64.304893 64.525406 2009652 36.626694
"2007-03-09" 64.66922 64.88015 64.304893 64.487061 1591514 36.604927
"2007-03-12" 64.189835 64.487061 64.074783 64.132309 1537591 36.403549
"2007-03-13" 63.978909 64.218597 63.681686 63.796741 2739961 36.21307
"2007-03-14" 63.892616 64.592522 63.269417 64.209015 3194083 36.447102
"2007-03-15" 64.209015 64.515823 64.065201 64.237778 1965742 36.463436
"2007-03-16" 64.237778 64.333656 63.720039 63.969318 2120523 36.311031
"2007-03-19" 64.141899 64.66922 63.998081 64.573349 1546769 36.6539
"2007-03-20" 64.534996 65.254074 64.525406 65.234901 1968245 37.029423
"2007-03-21" 65.10067 65.915627 65.062317 65.877274 1845171 37.394051
"2007-03-22" 65.062317 66.529243 65.062317 66.260788 1590575 37.61174
"2007-03-23" 66.260788 66.423775 65.906036 66.145737 1240857 37.546429
"2007-03-26" 65.96357 66.136147 65.54171 66.097794 1297075 37.519226
"2007-03-27" 65.75264 65.915627 65.369125 65.810165 1540720 37.355949
"2007-03-28" 65.675934 66.059441 65.158195 65.886864 2806713 37.399494
"2007-03-29" 66.490891 66.490891 65.580055 65.96357 1769449 37.443043
"2007-03-30" 65.925217 66.078621 65.139023 65.666344 3840430 37.274323
"2007-04-02" 65.685524 65.982742 65.378716 65.790985 1495349 37.345085
"2007-04-03" 66.049858 66.366249 65.915627 66.203262 1211653 37.579098
"2007-04-04" 66.347076 66.586769 66.011505 66.308723 1169516 37.638958
"2007-04-05" 66.404602 66.855225 66.299133 66.788109 959560 37.911076
"2007-04-09" 66.92234 67.277084 66.605942 67.219559 1164614 38.155968
"2007-04-10" 67.219559 67.631828 67.14286 67.449661 1956355 38.286587
"2007-04-11" 67.305847 67.440079 66.596359 66.749763 1699986 37.889313
"2007-04-12" 66.538834 67.104507 66.366249 67.056564 1429536 38.063446
"2007-04-13" 67.056564 67.3442 66.893578 67.248322 1013066 38.172306
"2007-04-16" 67.430489 67.77565 67.286674 67.77565 1797298 38.47163
"2007-04-17" 67.98658 68.389259 67.77565 68.360497 1937894 38.803608
"2007-04-18" 68.139984 68.897408 68.139984 68.360497 2274053 38.803608
"2007-04-19" 69.185043 69.185043 68.159157 68.456375 1492950 38.858028
"2007-04-20" 68.648132 68.993286 68.130394 68.974113 2997686 39.151917
"2007-04-23" 68.791946 68.983704 67.114098 68.168747 2256635 38.694756
"2007-04-24" 67.929054 68.293381 67.3442 67.929054 2026340 38.558704
"2007-04-25" 68.072868 68.954941 67.641418 68.916588 1755578 39.119278
"2007-04-26" 68.744011 68.93576 68.360497 68.753593 2156194 39.026749
"2007-04-27" 68.533081 68.964523 68.360497 68.676895 948817 38.9832
"2007-04-30" 68.226273 68.696068 68.072868 68.235855 1444451 38.732857
"2007-05-01" 67.382553 68.638542 67.382553 68.513901 1834011 38.890671
"2007-05-02" 68.322151 68.791946 68.015343 68.648132 867463 38.966888
"2007-05-03" 68.839882 68.839882 68.005753 68.178329 1242109 38.700211
"2007-05-04" 68.18792 68.686478 67.948227 68.312561 1277884 38.776394
"2007-05-07" 68.216682 68.686478 67.98658 68.581017 1269227 38.928787
"2007-05-08" 68.456375 68.581017 68.072868 68.255035 987930 38.743748
"2007-05-09" 68.389259 68.600189 67.909874 68.485138 2134291 38.874352
"2007-05-10" 68.312561 68.370087 67.813995 67.948227 1669321 38.56958
"2007-05-11" 68.024925 68.418022 67.785233 68.331734 1213635 38.787273
"2007-05-14" 68.063278 68.456375 67.737297 67.77565 1680690 38.47163
"2007-05-15" 68.063278 68.072868 67.305847 67.392136 2162973 38.253937
"2007-05-16" 67.488014 68.744011 67.392136 68.648132 1536339 38.966888
"2007-05-17" 68.360497 69.050812 68.245445 68.791946 1735343 39.0485
"2007-05-18" 68.811119 68.974113 68.609779 68.945351 1783426 39.135586
"2007-05-21" 68.552254 68.92617 68.293381 68.513901 1240440 38.890671
"2007-05-22" 68.283798 68.398849 67.919464 68.015343 1250870 38.607685
"2007-05-23" 68.072868 68.312561 67.785233 67.929054 1190167 38.558704
"2007-05-24" 67.785233 68.216682 67.631828 67.708534 1703219 38.433548
"2007-05-25" 67.9674 68.274208 67.689362 68.082451 909809 38.645771
"2007-05-29" 67.708534 68.264618 67.660591 67.881111 1910150 38.531494
"2007-05-30" 67.238731 68.322151 67.238731 68.255035 1597355 38.743748
"2007-05-31" 68.034515 68.293381 67.852348 68.034515 1542180 38.618557
"2007-06-01" 68.034515 68.897408 68.034515 68.71524 2275200 39.004986
"2007-06-04" 68.71524 69.089165 68.561844 68.974113 2064097 39.151917
"2007-06-05" 69.185043 69.78907 68.600189 69.012466 1626767 39.173683
"2007-06-06" 68.341324 68.389259 67.478432 67.507195 1264325 38.603489
"2007-06-07" 67.507195 67.612656 66.788109 66.788109 1689451 38.192284
"2007-06-08" 66.634705 67.382553 66.538834 67.363373 1402731 38.521248
"2007-06-11" 67.363373 67.459251 67.018219 67.075745 1060731 38.35677
"2007-06-12" 66.721001 67.027802 66.529243 66.577179 2350088 38.071663
"2007-06-13" 66.874397 67.804413 66.577179 67.468842 2370426 38.581543
"2007-06-14" 67.54554 67.689362 66.768936 67.238731 1338586 38.44997
"2007-06-15" 67.708534 67.833176 66.452538 66.519653 2643901 38.038773
"2007-06-18" 66.519653 66.673058 66.27037 66.414192 1746191 37.978458
"2007-06-19" 66.414192 66.414192 65.139023 65.378716 2778448 37.38633
"2007-06-20" 65.608818 65.858101 64.813042 64.813042 2176220 37.062855
"2007-06-21" 64.621284 65.043144 64.237778 64.793861 2755397 37.051888
"2007-06-22" 64.6884 64.6884 63.787151 63.930969 3115024 36.558445
"2007-06-25" 64.026848 64.563759 63.700863 63.930969 1937790 36.558445
"2007-06-26" 64.285713 64.918503 64.046021 64.333656 2782724 36.788727
"2007-06-27" 63.806328 64.132309 63.326942 64.046021 2252567 36.624237
"2007-06-28" 63.940556 64.381592 63.720039 63.854267 1516105 36.514584
"2007-06-29" 63.930969 64.525406 63.643337 64.132309 1781548 36.67358
"2007-07-02" 64.400764 64.88015 64.24736 64.88015 1714379 37.10125
"2007-07-03" 65.148613 65.158195 64.832214 64.918503 904490 37.123154
"2007-07-05" 65.033554 65.254074 64.813042 65.023972 1534044 37.183475
"2007-07-06" 65.023972 65.023972 64.544586 64.621284 1030588 36.953209
"2007-07-09" 64.860977 65.196548 63.930969 64.333656 3056303 36.788727
"2007-07-10" 63.528282 63.854267 63.020134 63.048897 3269492 36.054039
"2007-07-11" 62.694153 63.557049 61.160114 63.336529 3490087 36.218525
"2007-07-12" 63.288589 64.640457 63.279003 64.592522 2039691 36.936764
"2007-07-13" 64.659637 64.717163 63.959732 64.266541 1384583 36.750343
"2007-07-16" 64.189835 64.832214 63.950146 64.640457 1782696 36.964161
"2007-07-17" 64.525406 64.745926 64.017258 64.017258 1825563 36.607792
"2007-07-18" 64.026848 64.285713 63.394054 64.046021 2210326 36.624237
"2007-07-19" 64.199425 64.621284 64.170662 64.496643 2016328 36.881931
"2007-07-20" 64.621284 64.745926 63.806328 63.815914 1922145 36.492672
"2007-07-23" 63.988495 64.69799 63.892616 64.69799 1692893 36.997066
"2007-07-24" 66.538834 66.634705 65.033554 65.474594 4312284 37.441158
"2007-07-25" 66.155319 66.433365 64.928093 66.356667 3791722 37.945564
"2007-07-26" 64.774689 67.468842 64.630875 65.75264 5021941 37.600159
"2007-07-27" 65.896454 66.395012 65.30201 65.369125 3274603 37.380844
"2007-07-30" 65.09108 65.867691 64.793861 65.53212 3216403 37.474045
"2007-07-31" 65.96357 66.059441 64.410355 64.496643 4061755 36.881931
"2007-08-01" 65.186958 65.196548 63.585812 63.729626 8184630 36.443302
"2007-08-02" 64.122726 65.445831 63.614574 65.369125 3656654 37.380844
"2007-08-03" 65.608818 66.040268 64.784279 64.841805 3411653 37.079296
"2007-08-06" 65.062317 66.740173 65.033554 66.625122 3013853 38.099075
"2007-08-07" 66.126556 67.286674 66.126556 66.883987 3840847 38.247116
"2007-08-08" 67.171623 67.325027 66.251198 66.797699 3019694 38.197777
"2007-08-09" 66.826462 67.54554 65.637581 65.637581 4153747 37.534363
"2007-08-10" 65.177376 66.327904 64.736336 65.397888 3287432 37.397308
"2007-08-13" 65.493767 67.190796 65.10067 66.836052 3057555 38.2197
"2007-08-14" 66.711411 67.35379 66.088203 66.260788 2584763 37.890739
"2007-08-15" 66.404602 66.960693 65.781403 65.819748 2892448 37.638538
"2007-08-16" 65.75264 66.327904 64.113136 65.11985 4655013 37.238304
"2007-08-17" 66.347076 66.538834 65.551292 66.222435 3070383 37.868805
"2007-08-20" 66.567596 67.114098 66.232025 66.673058 2505599 38.126499
"2007-08-21" 66.347076 67.008629 66.1745 66.577179 2015285 38.071663
"2007-08-22" 66.931931 67.104507 66.27037 66.768936 2342787 38.181324
"2007-08-23" 67.018219 67.114098 66.452538 66.788109 3024179 38.192284
"2007-08-24" 66.864815 67.516777 66.663467 67.430489 1833594 38.559628
"2007-08-27" 67.018219 67.238731 66.059441 66.107384 1958650 37.80302
"2007-08-28" 65.675934 66.442955 65.647171 65.666344 2780429 37.550816
"2007-08-29" 65.915627 66.538834 65.685524 66.500481 1578581 38.027794
"2007-08-30" 65.934799 66.088203 65.32119 65.512939 2652558 37.463085
"2007-08-31" 65.838928 66.136147 65.32119 65.858101 2845304 37.660454
"2007-09-04" 66.088203 66.500481 65.906036 66.299133 2103105 37.912659
"2007-09-05" 65.608818 65.819748 65.023972 65.465004 1964178 37.724815
"2007-09-06" 65.810165 65.992332 65.225311 65.858101 1439549 37.951336
"2007-09-07" 65.292427 65.627998 64.860977 64.966446 1944569 37.437511
"2007-09-10" 65.09108 65.723869 64.90892 65.340363 1822642 37.652992
"2007-09-11" 65.388306 66.069031 64.90892 65.829338 2132518 37.934765
"2007-09-12" 65.762222 66.749763 65.455414 66.682648 2072962 38.42651
"2007-09-13" 66.730583 67.114098 66.500481 66.826462 1767051 38.509369
"2007-09-14" 66.558006 66.951103 66.433365 66.682648 1556990 38.42651
"2007-09-17" 66.279961 66.462128 65.52253 65.52253 2771981 37.757961
"2007-09-18" 65.714287 66.70182 65.637581 66.538834 2628360 38.343628
"2007-09-19" 66.874397 67.382553 66.356667 67.219559 2598426 38.735897
"2007-09-20" 66.91275 67.372963 66.682648 66.682648 1492220 38.42651
"2007-09-21" 67.411316 67.54554 66.682648 67.075745 2244223 38.653027
"2007-09-24" 66.883987 67.181206 66.634705 66.749763 1876566 38.465187
"2007-09-25" 66.404602 67.248322 66.203262 66.797699 2042090 38.492798
"2007-09-26" 67.066154 67.833176 66.845634 67.641418 1524866 38.978996
"2007-09-27" 67.746887 67.861938 67.363373 67.641418 1319082 38.978996
"2007-09-28" 67.574303 67.670181 67.296265 67.363373 2125634 38.818775
"2007-10-01" 67.75647 67.804413 66.893578 67.296265 2120836 38.780102
"2007-10-02" 67.257912 67.919464 67.209969 67.852348 1736595 39.100555
"2007-10-03" 67.75647 67.98658 67.037392 67.277084 2245892 38.769054
"2007-10-04" 67.54554 67.593483 66.941513 67.075745 1477514 38.653027
"2007-10-05" 67.449661 67.593483 66.92234 67.14286 2172048 38.6917
"2007-10-08" 66.903168 67.171623 66.69223 66.999039 1342654 38.608822
"2007-10-09" 67.315437 67.33461 66.788109 67.14286 1624577 38.6917
"2007-10-10" 67.008629 67.3442 66.816872 66.91275 1650130 38.559097
"2007-10-11" 67.085335 67.56472 66.836052 67.12368 2266856 38.680637
"2007-10-12" 67.046982 67.593483 66.634705 67.593483 1701446 38.95137
"2007-10-15" 67.593483 67.794823 66.260788 66.395012 2373972 38.260746
"2007-10-16" 66.27037 66.816872 66.164909 66.567596 1777168 38.360191
"2007-10-17" 66.653885 67.094917 66.337486 66.442955 2218565 38.288383
"2007-10-18" 66.030678 66.462128 65.96357 65.973152 2092258 38.017632
"2007-10-19" 65.75264 66.040268 64.24736 64.372002 2896202 37.094967
"2007-10-22" 64.717163 68.044106 64.439117 67.296265 3513033 38.780102
"2007-10-23" 67.257912 67.593483 66.011505 66.4813 2570056 38.310471
"2007-10-24" 66.289551 67.35379 66.241608 67.190796 2443436 38.719322
"2007-10-25" 67.181206 68.034515 66.70182 67.018219 2208031 38.619873
"2007-10-26" 67.248322 68.226273 67.008629 67.957817 2255592 39.161327
"2007-10-29" 67.929054 67.97699 67.526367 67.56472 1963865 38.934799
"2007-10-30" 67.679771 67.679771 67.027802 67.066154 2061802 38.647499
"2007-10-31" 66.989456 68.092041 66.970276 67.9674 2354051 39.166843
"2007-11-01" 67.823586 68.18792 66.375839 66.395012 2592377 38.260746
"2007-11-02" 66.452538 66.749763 65.215721 66.308723 2375745 38.211018
