"Index" "FTNT.Open" "FTNT.High" "FTNT.Low" "FTNT.Close" "FTNT.Volume" "FTNT.Adjusted"
"2010-06-25" 1.712 1.774 1.705 1.755 50871000 1.755
"2010-06-28" 1.755 1.76 1.727 1.747 7486000 1.747
"2010-06-29" 1.725 1.725 1.684 1.707 10252000 1.707
"2010-06-30" 1.7 1.736 1.635 1.644 9750000 1.644
"2010-07-01" 1.655 1.655 1.589 1.626 4913000 1.626
"2010-07-02" 1.634 1.667 1.598 1.619 2276000 1.619
"2010-07-06" 1.631 1.692 1.615 1.627 4205000 1.627
"2010-07-07" 1.63 1.673 1.609 1.67 3460000 1.67
"2010-07-08" 1.681 1.701 1.641 1.701 5438000 1.701
"2010-07-09" 1.696 1.715 1.665 1.697 4740000 1.697
"2010-07-12" 1.687 1.699 1.641 1.666 4528000 1.666
"2010-07-13" 1.68 1.711 1.472 1.685 5181000 1.685
"2010-07-14" 1.682 1.699 1.661 1.685 2992000 1.685
"2010-07-15" 1.679 1.689 1.641 1.66 2656000 1.66
"2010-07-16" 1.647 1.657 1.615 1.628 3793000 1.628
"2010-07-19" 1.628 1.642 1.57 1.614 5203000 1.614
"2010-07-20" 1.594 1.633 1.567 1.612 4965000 1.612
"2010-07-21" 1.62 1.649 1.571 1.6 4565000 1.6
"2010-07-22" 1.624 1.735 1.616 1.732 15781000 1.732
"2010-07-23" 1.72 1.785 1.668 1.781 25068000 1.781
"2010-07-26" 1.781 1.817 1.778 1.808 14357000 1.808
"2010-07-27" 1.8 1.809 1.781 1.794 8164000 1.794
"2010-07-28" 1.785 1.794 1.76 1.772 3702000 1.772
"2010-07-29" 1.775 1.79 1.743 1.78 4934000 1.78
"2010-07-30" 1.756 1.801 1.756 1.801 4525000 1.801
"2010-08-02" 1.81 1.825 1.781 1.816 5970000 1.816
"2010-08-03" 1.815 1.841 1.813 1.819 5696000 1.819
"2010-08-04" 1.823 1.842 1.795 1.841 2013000 1.841
"2010-08-05" 1.829 1.845 1.793 1.798 1912000 1.798
"2010-08-06" 1.78 1.823 1.761 1.819 3242000 1.819
"2010-08-09" 1.816 1.835 1.804 1.817 4920000 1.817
"2010-08-10" 1.795 1.804 1.753 1.787 2356000 1.787
"2010-08-11" 1.762 1.779 1.712 1.721 4256000 1.721
"2010-08-12" 1.705 1.737 1.686 1.736 3125000 1.736
"2010-08-13" 1.726 1.775 1.684 1.756 2731000 1.756
"2010-08-16" 1.741 1.79 1.728 1.77 1712000 1.77
"2010-08-17" 1.785 1.815 1.74 1.808 5442000 1.808
"2010-08-18" 1.792 1.828 1.782 1.821 7449000 1.821
"2010-08-19" 1.82 1.829 1.74 1.78 6623000 1.78
"2010-08-20" 1.771 1.84 1.753 1.838 8106000 1.838
"2010-08-23" 1.84 1.859 1.806 1.841 9454000 1.841
"2010-08-24" 1.813 1.854 1.806 1.843 5218000 1.843
"2010-08-25" 1.828 1.86 1.798 1.86 6930000 1.86
"2010-08-26" 1.86 1.92 1.85 1.883 14143000 1.883
"2010-08-27" 1.897 2.17 1.892 1.999 45748000 1.999
"2010-08-30" 2 2.048 1.98 2.003 15164000 2.003
"2010-08-31" 2.005 2.042 1.968 2.038 22279000 2.038
"2010-09-01" 2.052 2.102 2.05 2.098 21860000 2.098
"2010-09-02" 2.094 2.193 2.075 2.183 8359000 2.183
"2010-09-03" 2.2 2.209 2.099 2.117 5314000 2.117
"2010-09-07" 2.118 2.147 2.035 2.047 7880000 2.047
"2010-09-08" 2.044 2.104 2.038 2.088 4012000 2.088
"2010-09-09" 2.107 2.215 2.107 2.201 12802000 2.201
"2010-09-10" 2.211 2.215 2.139 2.151 7335000 2.151
"2010-09-13" 2.226 2.296 2.184 2.19 18359000 2.19
"2010-09-14" 2.173 2.315 2.137 2.292 15832000 2.292
"2010-09-15" 2.292 2.343 2.234 2.24 10802000 2.24
"2010-09-16" 2.237 2.308 2.237 2.28 12123000 2.28
"2010-09-17" 2.305 2.525 2.255 2.5 28567000 2.5
"2010-09-20" 2.5 2.539 2.461 2.511 12590000 2.511
"2010-09-21" 2.5 2.504 2.46 2.467 7603000 2.467
"2010-09-22" 2.468 2.473 2.359 2.382 6024000 2.382
"2010-09-23" 2.35 2.406 2.325 2.367 11576000 2.367
"2010-09-24" 2.406 2.45 2.376 2.4 13423000 2.4
"2010-09-27" 2.396 2.514 2.37 2.467 13205000 2.467
"2010-09-28" 2.477 2.563 2.422 2.436 9128000 2.436
"2010-09-29" 2.44 2.529 2.43 2.521 11930000 2.521
"2010-09-30" 2.54 2.559 2.487 2.5 8e+06 2.5
"2010-10-01" 2.523 2.523 2.445 2.5 3787000 2.5
"2010-10-04" 2.505 2.563 2.483 2.553 9856000 2.553
"2010-10-05" 2.561 2.592 2.522 2.553 6511000 2.553
"2010-10-06" 2.57 2.595 2.38 2.419 10829000 2.419
"2010-10-07" 2.423 2.45 2.356 2.408 13857000 2.408
"2010-10-08" 2.4 2.45 2.385 2.419 5455000 2.419
"2010-10-11" 2.417 2.528 2.417 2.5 6831000 2.5
"2010-10-12" 2.487 2.512 2.468 2.499 7697000 2.499
"2010-10-13" 2.508 2.535 2.489 2.502 4695000 2.502
"2010-10-14" 2.5 2.535 2.492 2.528 3382000 2.528
"2010-10-15" 2.553 2.661 2.535 2.603 11926000 2.603
"2010-10-18" 2.6 2.656 2.566 2.612 4341000 2.612
"2010-10-19" 2.583 2.583 2.492 2.518 5809000 2.518
"2010-10-20" 2.525 2.595 2.485 2.516 6616000 2.516
"2010-10-21" 2.537 2.545 2.426 2.47 8109000 2.47
"2010-10-22" 2.7 2.975 2.687 2.963 35186000 2.963
"2010-10-25" 2.964 3.031 2.917 3.025 9480000 3.025
"2010-10-26" 2.997 3.15 2.986 3.137 13124000 3.137
"2010-10-27" 3.129 3.165 3.094 3.134 7842000 3.134
"2010-10-28" 3.057 3.075 2.874 3 13906000 3
"2010-10-29" 3.005 3.029 2.96 3 4942000 3
"2010-11-01" 3.672 3.677 3.107 3.188 95306000 3.188
"2010-11-02" 3.235 3.273 3.071 3.099 25249000 3.099
"2010-11-03" 3.108 3.162 3.077 3.1 6793000 3.1
"2010-11-04" 3.101 3.12 2.941 3.056 21342000 3.056
"2010-11-05" 3.04 3.155 3.04 3.129 6521000 3.129
"2010-11-08" 3.1 3.13 2.91 3.098 13083000 3.098
"2010-11-09" 3.098 3.176 3.098 3.119 6161000 3.119
"2010-11-10" 3.114 3.14 3.068 3.098 3832000 3.098
"2010-11-11" 3.055 3.107 3 3.043 3773000 3.043
"2010-11-12" 3.019 3.1 3.001 3.032 3815000 3.032
"2010-11-15" 3.06 3.145 3.025 3.1 4330000 3.1
"2010-11-16" 3.092 3.178 2.993 3.138 13196000 3.138
"2010-11-17" 3.118 3.159 3.056 3.128 6603000 3.128
"2010-11-18" 3.156 3.277 3.137 3.256 7006000 3.256
"2010-11-19" 3.26 3.29 3.179 3.194 7081000 3.194
"2010-11-22" 3.171 3.262 3.076 3.166 7189000 3.166
"2010-11-23" 3.138 3.177 3.107 3.144 6146000 3.144
"2010-11-24" 3.172 3.2 3.14 3.187 3884000 3.187
"2010-11-26" 3.186 3.223 3.161 3.17 1173000 3.17
"2010-11-29" 3.148 3.169 3.096 3.152 2360000 3.152
"2010-11-30" 3.13 3.209 3.114 3.187 10129000 3.187
"2010-12-01" 3.23 3.253 3.171 3.22 7509000 3.22
"2010-12-02" 3.17 3.273 3.109 3.244 7184000 3.244
"2010-12-03" 3.241 3.385 3.202 3.326 7146000 3.326
"2010-12-06" 3.339 3.393 3.276 3.291 5055000 3.291
"2010-12-07" 3.317 3.33 3.261 3.271 5273000 3.271
"2010-12-08" 3.271 3.3 3.21 3.269 2752000 3.269
"2010-12-09" 3.295 3.4 3.252 3.346 6618000 3.346
"2010-12-10" 3.355 3.391 3.306 3.333 3223000 3.333
"2010-12-13" 3.352 3.387 3.185 3.191 5678000 3.191
"2010-12-14" 3.198 3.223 3.062 3.108 7701000 3.108
"2010-12-15" 3.111 3.155 3.085 3.141 4418000 3.141
"2010-12-16" 3.154 3.193 3.134 3.178 2811000 3.178
"2010-12-17" 3.175 3.214 3.145 3.21 8687000 3.21
"2010-12-20" 3.2 3.263 3.139 3.202 4556000 3.202
"2010-12-21" 3.21 3.228 3.178 3.198 3124000 3.198
"2010-12-22" 3.181 3.202 3.156 3.168 3127000 3.168
"2010-12-23" 3.17 3.205 3.132 3.135 2036000 3.135
"2010-12-27" 3.133 3.265 3.1 3.251 3316000 3.251
"2010-12-28" 3.253 3.261 3.141 3.165 1762000 3.165
"2010-12-29" 3.179 3.249 3.154 3.218 3352000 3.218
"2010-12-30" 3.212 3.265 3.207 3.218 2705000 3.218
"2010-12-31" 3.225 3.25 3.181 3.235 1889000 3.235
"2011-01-03" 3.265 3.339 3.247 3.31 5036000 3.31
"2011-01-04" 3.338 3.5 3.316 3.497 11695000 3.497
"2011-01-05" 3.5 3.695 3.494 3.65 14327000 3.65
"2011-01-06" 3.648 3.692 3.6 3.638 5714000 3.638
"2011-01-07" 3.655 3.666 3.5 3.523 4276000 3.523
"2011-01-10" 3.548 3.61 3.478 3.601 5599000 3.601
"2011-01-11" 3.647 3.678 3.593 3.606 3229000 3.606
"2011-01-12" 3.64 3.681 3.583 3.658 3148000 3.658
"2011-01-13" 3.687 3.8 3.655 3.679 8138000 3.679
"2011-01-14" 3.699 3.747 3.585 3.737 9042000 3.737
"2011-01-18" 3.74 3.74 3.6 3.667 10441000 3.667
"2011-01-19" 3.582 3.636 3.55 3.559 10968000 3.559
"2011-01-20" 3.45 3.543 3.344 3.495 8739000 3.495
"2011-01-21" 3.524 3.531 3.437 3.509 6885000 3.509
"2011-01-24" 3.49 3.529 3.376 3.449 6869000 3.449
"2011-01-25" 3.401 3.412 3.283 3.392 15244000 3.392
"2011-01-26" 3.557 3.975 3.539 3.965 41092000 3.965
"2011-01-27" 3.974 3.978 3.769 3.78 9572000 3.78
"2011-01-28" 3.805 3.844 3.595 3.695 10793000 3.695
"2011-01-31" 3.641 3.884 3.63 3.845 12926000 3.845
"2011-02-01" 3.852 3.973 3.82 3.946 11144000 3.946
"2011-02-02" 3.926 3.949 3.892 3.901 8052000 3.901
"2011-02-03" 3.9 3.915 3.818 3.888 5220000 3.888
"2011-02-04" 3.9 4.1 3.883 4.087 18077000 4.087
"2011-02-07" 4.088 4.196 3.938 3.976 11234000 3.976
"2011-02-08" 3.962 4.058 3.962 4.047 6687000 4.047
"2011-02-09" 4.099 4.121 4.003 4.017 5759000 4.017
"2011-02-10" 3.971 4.083 3.877 4.066 7372000 4.066
"2011-02-11" 4.033 4.078 3.985 4.063 3755000 4.063
"2011-02-14" 4.063 4.175 4.032 4.1 6689000 4.1
"2011-02-15" 4.073 4.113 3.962 4.046 8649000 4.046
"2011-02-16" 4.053 4.142 4.019 4.126 6090000 4.126
"2011-02-17" 4.057 4.169 4.025 4.131 10896000 4.131
"2011-02-18" 4.148 4.199 4.118 4.17 6633000 4.17
"2011-02-22" 4.111 4.119 3.942 3.961 9537000 3.961
"2011-02-23" 3.95 4.025 3.804 3.988 11266000 3.988
"2011-02-24" 4.045 4.175 4.028 4.078 9244000 4.078
"2011-02-25" 4.078 4.202 4.078 4.15 12636000 4.15
"2011-02-28" 4.196 4.196 4.023 4.084 6251000 4.084
"2011-03-01" 4.1 4.12 3.963 3.967 7425000 3.967
"2011-03-02" 3.96 4.043 3.872 4.037 6684000 4.037
"2011-03-03" 4.072 4.25 4.063 4.223 10792000 4.223
"2011-03-04" 4.24 4.341 4.228 4.325 7801000 4.325
"2011-03-07" 4.337 4.362 4.161 4.311 6980000 4.311
"2011-03-08" 4.39 4.399 4.291 4.328 5257000 4.328
"2011-03-09" 4.325 4.395 4.27 4.321 4670000 4.321
"2011-03-10" 4.299 4.346 4.202 4.215 6669000 4.215
"2011-03-11" 4.199 4.321 4.169 4.3 6257000 4.3
"2011-03-14" 4.281 4.365 4.275 4.362 4586000 4.362
"2011-03-15" 4.142 4.297 4.075 4.224 10459000 4.224
"2011-03-16" 4.224 4.265 4.092 4.103 9655000 4.103
"2011-03-17" 4.154 4.221 4.111 4.145 5380000 4.145
"2011-03-18" 4.191 4.245 4.169 4.23 9348000 4.23
"2011-03-21" 4.276 4.383 4.253 4.378 5878000 4.378
"2011-03-22" 4.394 4.394 4.19 4.23 6070000 4.23
"2011-03-23" 4.206 4.21 4.06 4.102 9497000 4.102
"2011-03-24" 4.128 4.213 4.097 4.171 6983000 4.171
"2011-03-25" 4.203 4.32 4.203 4.305 5693000 4.305
"2011-03-28" 4.3 4.307 4.211 4.231 4669000 4.231
"2011-03-29" 4.229 4.36 4.185 4.34 6887000 4.34
"2011-03-30" 4.337 4.404 4.297 4.3 4916000 4.3
"2011-03-31" 4.315 4.435 4.29 4.415 9745000 4.415
"2011-04-01" 4.453 4.49 3.903 4.078 32046000 4.078
"2011-04-04" 4.179 4.357 4.157 4.349 17966000 4.349
"2011-04-05" 4.332 4.45 4.289 4.449 8706000 4.449
"2011-04-06" 4.458 4.488 4.169 4.2 12354000 4.2
"2011-04-07" 4.175 4.199 3.927 3.981 16743000 3.981
"2011-04-08" 4.007 4.022 3.92 3.956 7314000 3.956
"2011-04-11" 3.973 4.01 3.852 3.906 6900000 3.906
"2011-04-12" 3.87 3.91 3.758 3.788 7981000 3.788
"2011-04-13" 3.852 4.067 3.852 4.029 15217000 4.029
"2011-04-14" 3.99 4.062 3.924 4.016 6038000 4.016
"2011-04-15" 3.994 4.061 3.921 4.06 7932000 4.06
"2011-04-18" 3.996 3.996 3.882 3.923 5424000 3.923
"2011-04-19" 3.93 3.948 3.829 3.877 6341000 3.877
"2011-04-20" 3.907 4.031 3.877 4.03 8916000 4.03
"2011-04-21" 4.068 4.093 3.991 4.042 3635000 4.042
"2011-04-25" 4.014 4.097 3.941 4.086 5824000 4.086
"2011-04-26" 4.097 4.196 4.095 4.115 9428000 4.115
"2011-04-27" 4.103 4.175 3.98 4.173 10225000 4.173
"2011-04-28" 4.491 4.85 4.466 4.777 3.7e+07 4.777
"2011-04-29" 4.777 4.9 4.774 4.87 1.3e+07 4.87
"2011-05-02" 4.871 4.921 4.623 4.625 11760000 4.625
"2011-05-03" 4.637 4.7 4.35 4.523 17074000 4.523
"2011-05-04" 4.501 4.528 4.41 4.417 10007000 4.417
"2011-05-05" 4.35 4.709 4.3 4.619 15544000 4.619
"2011-05-06" 4.66 4.75 4.607 4.651 8923000 4.651
"2011-05-09" 4.654 4.782 4.617 4.744 8111000 4.744
"2011-05-10" 4.772 4.786 4.685 4.721 4682000 4.721
"2011-05-11" 4.732 4.732 4.543 4.607 3564000 4.607
"2011-05-12" 4.558 4.735 4.558 4.701 6030000 4.701
"2011-05-13" 4.724 4.792 4.677 4.696 5441000 4.696
"2011-05-16" 4.664 4.78 4.645 4.68 9256000 4.68
"2011-05-17" 4.65 4.769 4.626 4.665 7044000 4.665
"2011-05-18" 4.685 4.744 4.642 4.731 6975000 4.731
"2011-05-19" 4.772 4.946 4.721 4.863 9422000 4.863
"2011-05-20" 4.86 4.876 4.772 4.853 4875000 4.853
"2011-05-23" 4.759 4.785 4.673 4.684 4698000 4.684
"2011-05-24" 4.698 4.726 4.632 4.648 3555000 4.648
"2011-05-25" 4.629 4.798 4.586 4.792 6232000 4.792
"2011-05-26" 4.769 4.84 4.713 4.731 5894000 4.731
"2011-05-27" 4.76 4.85 4.733 4.786 3355000 4.786
"2011-05-31" 4.849 4.884 4.725 4.849 8264000 4.849
"2011-06-01" 4.857 5.08 4.857 4.97 38671000 4.97
"2011-06-02" 5.032 5.05 4.634 4.702 12707500 4.702
"2011-06-03" 4.66 4.786 4.624 4.688 8486000 4.688
"2011-06-06" 4.662 4.848 4.662 4.74 10653000 4.74
"2011-06-07" 4.786 4.854 4.674 4.84 9972500 4.84
"2011-06-08" 4.842 4.884 4.75 4.79 8148000 4.79
"2011-06-09" 4.796 4.846 4.724 4.758 4436500 4.758
"2011-06-10" 4.756 4.778 4.508 4.532 7967500 4.532
"2011-06-13" 4.532 4.66 4.5 4.55 6070000 4.55
"2011-06-14" 4.586 4.686 4.538 4.578 6006500 4.578
"2011-06-15" 4.542 4.584 4.456 4.462 5075500 4.462
"2011-06-16" 4.45 4.668 4.45 4.634 9379000 4.634
"2011-06-17" 4.674 4.712 4.524 4.532 8910000 4.532
"2011-06-20" 4.532 4.572 4.45 4.544 6044000 4.544
"2011-06-21" 4.574 5 4.546 4.928 14162000 4.928
"2011-06-22" 4.9 5.072 4.788 4.932 11993000 4.932
"2011-06-23" 4.836 5.036 4.76 5.024 10338000 5.024
"2011-06-24" 5.04 5.254 4.982 5.17 65763000 5.17
"2011-06-27" 5.186 5.272 5.128 5.202 13772000 5.202
"2011-06-28" 5.212 5.35 5.192 5.342 14529500 5.342
"2011-06-29" 5.378 5.438 5.29 5.382 9843000 5.382
"2011-06-30" 5.382 5.468 5.344 5.458 11037000 5.458
"2011-07-01" 5.426 5.528 5.426 5.516 5848500 5.516
"2011-07-05" 5.56 5.634 5.538 5.58 9442000 5.58
"2011-07-06" 5.58 5.644 5.508 5.634 8302000 5.634
"2011-07-07" 5.696 5.712 5.446 5.518 11291500 5.518
"2011-07-08" 5.384 5.642 5.302 5.61 9888000 5.61
"2011-07-11" 5.522 5.574 5.424 5.47 5657500 5.47
"2011-07-12" 5.458 5.462 5.284 5.372 8072000 5.372
"2011-07-13" 5.408 5.592 5.408 5.496 7792500 5.496
"2011-07-14" 5.532 5.56 5.3 5.396 6955000 5.396
"2011-07-15" 5.444 5.486 5.336 5.37 6174000 5.37
"2011-07-18" 5.356 5.474 5.266 5.306 8997500 5.306
"2011-07-19" 5.308 5.472 5.308 5.356 22172500 5.356
"2011-07-20" 4.47 4.478 3.97 4.322 99581500 4.322
