"Index" "GWW.Open" "GWW.High" "GWW.Low" "GWW.Close" "GWW.Volume" "GWW.Adjusted"
"2020-04-17" 287.480011 291.920013 276.140015 280.220001 364000 267.403961
"2020-04-20" 276.299988 277.23999 271.769989 274.51001 299200 261.955078
"2020-04-21" 270 272.790009 268.51001 270.089996 230100 257.737244
"2020-04-22" 276.350006 278 271.529999 276.130005 364100 263.501038
"2020-04-23" 264.200012 272.320007 256.190002 258.429993 858600 246.610489
"2020-04-24" 260.049988 271.48999 259.190002 269.609985 435600 257.279144
"2020-04-27" 272.329987 279.200012 270.480011 277.119995 340300 264.44574
"2020-04-28" 284.109985 287.899994 282.670013 286.019989 406400 272.93869
"2020-04-29" 291.75 292.700012 278.579987 280.640015 471900 267.804749
"2020-04-30" 276.350006 277.220001 271.709991 275.579987 371000 262.976105
"2020-05-01" 271.049988 272.429993 265.859985 267.660004 253200 255.418381
"2020-05-04" 266.049988 272.369995 263.269989 272.119995 280200 259.674438
"2020-05-05" 275.679993 281.980011 274.540009 279.209991 286900 266.440186
"2020-05-06" 283.480011 285.950012 278.980011 280.5 295400 267.671143
"2020-05-07" 283.820007 287.950012 279.880005 281.109985 284400 268.253235
"2020-05-08" 284.420013 285.450012 281.269989 285.450012 198200 273.797272
"2020-05-11" 282.619995 288.119995 278.98999 286.589996 220100 274.890717
"2020-05-12" 287.089996 287.100006 277.100006 277.209991 271700 265.893707
"2020-05-13" 276.450012 279.570007 270.299988 273.070007 351400 261.922638
"2020-05-14" 268.209991 277.079987 263.829987 277.019989 281000 265.711395
"2020-05-15" 274.679993 279.649994 273.440002 278.790009 435000 267.40921
"2020-05-18" 287.359985 292.980011 286.98999 290.920013 234200 279.044006
"2020-05-19" 290.399994 293.5 286.410004 286.51001 262800 274.814026
"2020-05-20" 291.109985 299.399994 291.109985 296.070007 266300 283.983795
"2020-05-21" 296.359985 299.369995 294.290009 295.440002 330900 283.379456
"2020-05-22" 295.970001 295.970001 291.459991 292.910004 284700 280.952789
"2020-05-26" 300 307.200012 300 305.76001 487500 293.278168
"2020-05-27" 311.98999 315.670013 308.420013 314.339996 336800 301.507965
"2020-05-28" 316.579987 316.579987 308.809998 309.209991 250400 296.58728
"2020-05-29" 308.450012 312.279999 306.390015 309.619995 876800 296.980621
"2020-06-01" 309.059998 312.579987 303.970001 305.940002 306000 293.450836
"2020-06-02" 312.829987 315.820007 311.040009 314.98999 366600 302.131409
"2020-06-03" 318.75 319.480011 315.440002 318 357700 305.018524
"2020-06-04" 314.820007 318.529999 312.190002 316.329987 258400 303.416718
"2020-06-05" 322.450012 324.440002 319.480011 322.829987 443000 309.651306
"2020-06-08" 322.410004 330.410004 321.480011 328.380005 347200 314.974823
"2020-06-09" 325.76001 329.089996 324.01001 326.339996 243200 313.018097
"2020-06-10" 328.73999 328.869995 320.720001 320.869995 204400 307.771301
"2020-06-11" 312.559998 315.440002 305.73999 305.940002 290800 293.450836
"2020-06-12" 315.290009 315.369995 298.429993 303.75 294000 291.350189
"2020-06-15" 297.130005 306.119995 294.809998 302.809998 532000 290.448608
"2020-06-16" 313.75 314.049988 305.51001 310.660004 275800 297.97818
"2020-06-17" 310.950012 313.670013 309.130005 310.269989 204800 297.604065
"2020-06-18" 308.179993 309.98999 303.190002 304.470001 262600 292.040863
"2020-06-19" 309.679993 309.679993 299.98999 303.01001 398500 290.640472
"2020-06-22" 302.26001 304.040009 298.51001 303.190002 231000 290.81311
"2020-06-23" 307.269989 307.98999 301.230011 301.480011 338900 289.172943
"2020-06-24" 299.109985 299.98999 291.720001 294.790009 378700 282.756042
"2020-06-25" 293.540009 296.529999 291.339996 295.950012 287200 283.868652
